Date Time,output,DNI,DHI,GHI,Temperature,Wind Speed
01.01.2010 00:00:00,0.00,0.00,0.00,0.00,-1.00,3.30
01.01.2010 01:00:00,0.00,0.00,0.00,0.00,-1.00,3.30
01.01.2010 02:00:00,0.00,0.00,0.00,0.00,-1.00,3.40
01.01.2010 03:00:00,0.00,0.00,0.00,0.00,-2.00,3.50
01.01.2010 04:00:00,0.00,0.00,0.00,0.00,-2.00,3.40
01.01.2010 05:00:00,0.00,0.00,0.00,0.00,-2.00,3.00
01.01.2010 06:00:00,0.00,0.00,0.00,0.00,-2.00,2.80
01.01.2010 07:00:00,0.00,0.00,0.00,0.00,-2.00,2.80
01.01.2010 08:00:00,1.58,0.00,32.00,32.00,-1.00,3.30
01.01.2010 09:00:00,9.26,18.00,104.00,109.00,0.00,3.80
01.01.2010 10:00:00,17.05,31.00,167.00,180.00,0.00,3.50
01.01.2010 11:00:00,22.69,46.00,213.00,236.00,1.00,2.80
01.01.2010 12:00:00,25.73,53.00,239.00,268.00,2.00,2.00
01.01.2010 13:00:00,25.64,57.00,237.00,268.00,3.00,1.40
01.01.2010 14:00:00,31.69,150.00,221.00,293.00,3.00,0.80
01.01.2010 15:00:00,16.65,47.00,157.00,174.00,3.00,0.40
01.01.2010 16:00:00,33.14,601.00,67.00,203.00,2.00,0.20
01.01.2010 17:00:00,1.37,0.00,32.00,32.00,0.00,0.30
01.01.2010 18:00:00,0.00,0.00,0.00,0.00,0.00,0.50
01.01.2010 19:00:00,0.00,0.00,0.00,0.00,0.00,0.80
01.01.2010 20:00:00,0.00,0.00,0.00,0.00,-1.00,0.90
01.01.2010 21:00:00,0.00,0.00,0.00,0.00,-2.00,1.10
01.01.2010 22:00:00,0.00,0.00,0.00,0.00,-2.00,1.20
01.01.2010 23:00:00,0.00,0.00,0.00,0.00,-3.00,1.30
02.01.2010 00:00:00,0.00,0.00,0.00,0.00,-3.00,1.30
02.01.2010 01:00:00,0.00,0.00,0.00,0.00,-4.00,1.40
02.01.2010 02:00:00,0.00,0.00,0.00,0.00,-4.00,1.60
02.01.2010 03:00:00,0.00,0.00,0.00,0.00,-4.00,1.80
02.01.2010 04:00:00,0.00,0.00,0.00,0.00,-3.00,1.90
02.01.2010 05:00:00,0.00,0.00,0.00,0.00,-3.00,2.10
02.01.2010 06:00:00,0.00,0.00,0.00,0.00,-3.00,2.10
02.01.2010 07:00:00,0.00,0.00,0.00,0.00,-2.00,2.40
02.01.2010 08:00:00,0.76,0.00,23.00,23.00,-1.00,2.80
02.01.2010 09:00:00,5.44,0.00,76.00,76.00,1.00,2.70
02.01.2010 10:00:00,10.32,0.00,133.00,133.00,4.00,2.60
02.01.2010 11:00:00,16.75,19.00,190.00,200.00,5.00,2.70
02.01.2010 12:00:00,26.59,61.00,244.00,278.00,6.00,2.90
02.01.2010 13:00:00,27.70,75.00,245.00,286.00,7.00,3.00
02.01.2010 14:00:00,34.51,191.00,221.00,313.00,8.00,2.90
02.01.2010 15:00:00,58.20,840.00,77.00,393.00,7.00,2.50
02.01.2010 16:00:00,36.11,696.00,56.00,216.00,5.00,1.60
02.01.2010 17:00:00,6.46,307.00,20.00,36.00,2.00,1.20
02.01.2010 18:00:00,0.00,0.00,0.00,0.00,0.00,1.30
02.01.2010 19:00:00,0.00,0.00,0.00,0.00,0.00,1.30
02.01.2010 20:00:00,0.00,0.00,0.00,0.00,0.00,1.30
02.01.2010 21:00:00,0.00,0.00,0.00,0.00,-1.00,1.40
02.01.2010 22:00:00,0.00,0.00,0.00,0.00,-1.00,1.60
02.01.2010 23:00:00,0.00,0.00,0.00,0.00,-2.00,1.80
03.01.2010 00:00:00,0.00,0.00,0.00,0.00,-2.00,2.00
03.01.2010 01:00:00,0.00,0.00,0.00,0.00,-2.00,2.20
03.01.2010 02:00:00,0.00,0.00,0.00,0.00,-2.00,2.40
03.01.2010 03:00:00,0.00,0.00,0.00,0.00,-2.00,2.70
03.01.2010 04:00:00,0.00,0.00,0.00,0.00,-2.00,3.00
03.01.2010 05:00:00,0.00,0.00,0.00,0.00,-3.00,3.30
03.01.2010 06:00:00,0.00,0.00,0.00,0.00,-3.00,3.40
03.01.2010 07:00:00,0.00,0.00,0.00,0.00,-2.00,3.80
03.01.2010 08:00:00,19.36,587.00,28.00,90.00,-1.00,4.10
03.01.2010 09:00:00,47.77,848.00,50.00,283.00,1.00,3.70
03.01.2010 10:00:00,66.74,949.00,64.00,454.00,5.00,3.00
03.01.2010 11:00:00,59.84,613.00,144.00,454.00,8.00,2.50
03.01.2010 12:00:00,71.17,780.00,113.00,542.00,9.00,2.40
03.01.2010 13:00:00,66.02,684.00,139.00,511.00,10.00,2.30
03.01.2010 14:00:00,73.51,972.00,75.00,546.00,11.00,2.30
03.01.2010 15:00:00,59.85,905.00,67.00,409.00,10.00,1.90
03.01.2010 16:00:00,38.37,768.00,50.00,228.00,7.00,1.40
03.01.2010 17:00:00,7.78,392.00,19.00,41.00,3.00,1.40
03.01.2010 18:00:00,0.00,0.00,0.00,0.00,1.00,1.50
03.01.2010 19:00:00,0.00,0.00,0.00,0.00,0.00,1.50
03.01.2010 20:00:00,0.00,0.00,0.00,0.00,0.00,1.50
03.01.2010 21:00:00,0.00,0.00,0.00,0.00,0.00,1.40
03.01.2010 22:00:00,0.00,0.00,0.00,0.00,0.00,1.40
03.01.2010 23:00:00,0.00,0.00,0.00,0.00,0.00,1.20
04.01.2010 00:00:00,0.00,0.00,0.00,0.00,0.00,1.10
04.01.2010 01:00:00,0.00,0.00,0.00,0.00,0.00,1.00
04.01.2010 02:00:00,0.00,0.00,0.00,0.00,0.00,0.90
04.01.2010 03:00:00,0.00,0.00,0.00,0.00,0.00,0.60
04.01.2010 04:00:00,0.00,0.00,0.00,0.00,0.00,0.40
04.01.2010 05:00:00,0.00,0.00,0.00,0.00,0.00,0.50
04.01.2010 06:00:00,0.00,0.00,0.00,0.00,0.00,0.60
04.01.2010 07:00:00,0.00,0.00,0.00,0.00,0.00,0.60
04.01.2010 08:00:00,17.43,528.00,30.00,85.00,0.00,0.50
04.01.2010 09:00:00,44.94,797.00,58.00,277.00,2.00,0.80
04.01.2010 10:00:00,63.99,903.00,75.00,447.00,4.00,1.10
04.01.2010 11:00:00,60.65,650.00,134.00,463.00,5.00,0.90
04.01.2010 12:00:00,70.40,781.00,113.00,543.00,6.00,1.10
04.01.2010 13:00:00,71.48,815.00,100.00,544.00,7.00,1.80
04.01.2010 14:00:00,74.27,935.00,87.00,541.00,7.00,2.50
04.01.2010 15:00:00,51.78,698.00,85.00,351.00,6.00,2.70
04.01.2010 16:00:00,32.21,573.00,61.00,195.00,4.00,2.00
04.01.2010 17:00:00,5.50,238.00,21.00,35.00,1.00,1.60
04.01.2010 18:00:00,0.00,0.00,0.00,0.00,0.00,1.80
04.01.2010 19:00:00,0.00,0.00,0.00,0.00,0.00,2.10
04.01.2010 20:00:00,0.00,0.00,0.00,0.00,0.00,2.30
04.01.2010 21:00:00,0.00,0.00,0.00,0.00,0.00,2.40
04.01.2010 22:00:00,0.00,0.00,0.00,0.00,0.00,2.50
04.01.2010 23:00:00,0.00,0.00,0.00,0.00,0.00,2.30
05.01.2010 00:00:00,0.00,0.00,0.00,0.00,-1.00,2.10
05.01.2010 01:00:00,0.00,0.00,0.00,0.00,-2.00,1.90
05.01.2010 02:00:00,0.00,0.00,0.00,0.00,-2.00,1.80
05.01.2010 03:00:00,0.00,0.00,0.00,0.00,-2.00,1.70
05.01.2010 04:00:00,0.00,0.00,0.00,0.00,-1.00,1.70
05.01.2010 05:00:00,0.00,0.00,0.00,0.00,-1.00,1.80
05.01.2010 06:00:00,0.00,0.00,0.00,0.00,-1.00,2.00
05.01.2010 07:00:00,0.00,0.00,0.00,0.00,0.00,2.70
05.01.2010 08:00:00,0.00,0.00,4.00,4.00,0.00,3.60
05.01.2010 09:00:00,0.38,0.00,16.00,16.00,1.00,4.50
05.01.2010 10:00:00,0.30,0.00,15.00,15.00,2.00,5.10
05.01.2010 11:00:00,22.65,45.00,214.00,237.00,3.00,5.50
05.01.2010 12:00:00,17.41,15.00,201.00,210.00,5.00,5.50
05.01.2010 13:00:00,17.89,18.00,204.00,215.00,6.00,5.30
05.01.2010 14:00:00,22.88,57.00,211.00,239.00,7.00,5.00
05.01.2010 15:00:00,12.85,17.00,148.00,155.00,7.00,4.40
05.01.2010 16:00:00,6.13,0.00,84.00,84.00,6.00,3.00
05.01.2010 17:00:00,0.00,0.00,14.00,14.00,4.00,2.10
05.01.2010 18:00:00,0.00,0.00,0.00,0.00,3.00,2.30
05.01.2010 19:00:00,0.00,0.00,0.00,0.00,2.00,2.70
05.01.2010 20:00:00,0.00,0.00,0.00,0.00,2.00,2.80
05.01.2010 21:00:00,0.00,0.00,0.00,0.00,1.00,2.90
05.01.2010 22:00:00,0.00,0.00,0.00,0.00,1.00,3.20
05.01.2010 23:00:00,0.00,0.00,0.00,0.00,1.00,3.60
06.01.2010 00:00:00,0.00,0.00,0.00,0.00,1.00,3.90
06.01.2010 01:00:00,0.00,0.00,0.00,0.00,1.00,4.00
06.01.2010 02:00:00,0.00,0.00,0.00,0.00,1.00,3.90
06.01.2010 03:00:00,0.00,0.00,0.00,0.00,1.00,3.60
06.01.2010 04:00:00,0.00,0.00,0.00,0.00,1.00,3.20
06.01.2010 05:00:00,0.00,0.00,0.00,0.00,1.00,2.90
06.01.2010 06:00:00,0.00,0.00,0.00,0.00,2.00,2.60
06.01.2010 07:00:00,0.00,0.00,0.00,0.00,2.00,2.60
06.01.2010 08:00:00,0.66,0.00,22.00,22.00,2.00,3.00
06.01.2010 09:00:00,5.39,0.00,76.00,76.00,3.00,3.50
06.01.2010 10:00:00,10.13,0.00,131.00,131.00,4.00,3.70
06.01.2010 11:00:00,10.79,0.00,142.00,142.00,5.00,3.70
06.01.2010 12:00:00,36.26,140.00,265.00,343.00,7.00,3.70
06.01.2010 13:00:00,10.05,0.00,137.00,137.00,9.00,3.80
06.01.2010 14:00:00,50.43,434.00,188.00,402.00,10.00,3.90
06.01.2010 15:00:00,32.51,277.00,159.00,266.00,10.00,3.70
06.01.2010 16:00:00,18.61,201.00,99.00,147.00,8.00,2.70
06.01.2010 17:00:00,2.18,69.00,23.00,27.00,6.00,1.80
06.01.2010 18:00:00,0.00,0.00,0.00,0.00,5.00,1.90
06.01.2010 19:00:00,0.00,0.00,0.00,0.00,4.00,2.30
06.01.2010 20:00:00,0.00,0.00,0.00,0.00,4.00,2.80
06.01.2010 21:00:00,0.00,0.00,0.00,0.00,4.00,3.20
06.01.2010 22:00:00,0.00,0.00,0.00,0.00,3.00,3.50
06.01.2010 23:00:00,0.00,0.00,0.00,0.00,2.00,3.80
07.01.2010 00:00:00,0.00,0.00,0.00,0.00,2.00,4.00
07.01.2010 01:00:00,0.00,0.00,0.00,0.00,1.00,4.00
07.01.2010 02:00:00,0.00,0.00,0.00,0.00,1.00,4.00
07.01.2010 03:00:00,0.00,0.00,0.00,0.00,0.00,4.10
07.01.2010 04:00:00,0.00,0.00,0.00,0.00,0.00,4.40
07.01.2010 05:00:00,0.00,0.00,0.00,0.00,0.00,4.60
07.01.2010 06:00:00,0.00,0.00,0.00,0.00,1.00,4.90
07.01.2010 07:00:00,0.00,0.00,0.00,0.00,1.00,5.40
07.01.2010 08:00:00,16.64,508.00,28.00,81.00,3.00,5.90
07.01.2010 09:00:00,44.29,787.00,48.00,265.00,6.00,6.60
07.01.2010 10:00:00,63.81,902.00,58.00,431.00,9.00,7.80
07.01.2010 11:00:00,76.16,959.00,62.00,551.00,12.00,8.60
07.01.2010 12:00:00,81.97,985.00,62.00,610.00,13.00,8.70
07.01.2010 13:00:00,81.28,980.00,64.00,604.00,13.00,8.60
07.01.2010 14:00:00,64.73,743.00,105.00,472.00,13.00,8.10
07.01.2010 15:00:00,59.32,882.00,58.00,400.00,12.00,6.90
07.01.2010 16:00:00,37.78,736.00,48.00,226.00,10.00,4.60
07.01.2010 17:00:00,7.76,365.00,22.00,45.00,7.00,3.00
07.01.2010 18:00:00,0.00,0.00,0.00,0.00,6.00,2.90
07.01.2010 19:00:00,0.00,0.00,0.00,0.00,5.00,3.00
07.01.2010 20:00:00,0.00,0.00,0.00,0.00,4.00,2.80
07.01.2010 21:00:00,0.00,0.00,0.00,0.00,3.00,2.40
07.01.2010 22:00:00,0.00,0.00,0.00,0.00,3.00,2.00
07.01.2010 23:00:00,0.00,0.00,0.00,0.00,2.00,1.70
08.01.2010 00:00:00,0.00,0.00,0.00,0.00,2.00,1.60
08.01.2010 01:00:00,0.00,0.00,0.00,0.00,2.00,1.50
08.01.2010 02:00:00,0.00,0.00,0.00,0.00,1.00,1.50
08.01.2010 03:00:00,0.00,0.00,0.00,0.00,1.00,1.60
08.01.2010 04:00:00,0.00,0.00,0.00,0.00,1.00,1.70
08.01.2010 05:00:00,0.00,0.00,0.00,0.00,1.00,1.70
08.01.2010 06:00:00,0.00,0.00,0.00,0.00,1.00,1.60
08.01.2010 07:00:00,0.00,0.00,0.00,0.00,1.00,1.60
08.01.2010 08:00:00,15.16,455.00,30.00,77.00,3.00,1.90
08.01.2010 09:00:00,29.57,398.00,94.00,204.00,5.00,2.10
08.01.2010 10:00:00,33.13,243.00,179.00,280.00,8.00,2.00
08.01.2010 11:00:00,63.14,701.00,123.00,481.00,10.00,2.10
08.01.2010 12:00:00,60.86,553.00,187.00,495.00,11.00,2.30
08.01.2010 13:00:00,67.08,688.00,144.00,524.00,10.00,2.40
08.01.2010 14:00:00,26.87,97.00,226.00,275.00,9.00,2.00
08.01.2010 15:00:00,5.23,0.00,79.00,79.00,8.00,1.20
08.01.2010 16:00:00,2.38,0.00,44.00,44.00,6.00,0.80
08.01.2010 17:00:00,0.00,0.00,9.00,9.00,4.00,1.40
08.01.2010 18:00:00,0.00,0.00,0.00,0.00,3.00,2.00
08.01.2010 19:00:00,0.00,0.00,0.00,0.00,2.00,2.30
08.01.2010 20:00:00,0.00,0.00,0.00,0.00,1.00,2.40
08.01.2010 21:00:00,0.00,0.00,0.00,0.00,0.00,2.90
08.01.2010 22:00:00,0.00,0.00,0.00,0.00,0.00,3.70
08.01.2010 23:00:00,0.00,0.00,0.00,0.00,0.00,4.30
09.01.2010 00:00:00,0.00,0.00,0.00,0.00,0.00,4.40
09.01.2010 01:00:00,0.00,0.00,0.00,0.00,0.00,4.30
09.01.2010 02:00:00,0.00,0.00,0.00,0.00,0.00,4.20
09.01.2010 03:00:00,0.00,0.00,0.00,0.00,-1.00,4.20
09.01.2010 04:00:00,0.00,0.00,0.00,0.00,-1.00,4.30
09.01.2010 05:00:00,0.00,0.00,0.00,0.00,-2.00,4.00
09.01.2010 06:00:00,0.00,0.00,0.00,0.00,-3.00,3.40
09.01.2010 07:00:00,0.00,0.00,0.00,0.00,-3.00,3.40
09.01.2010 08:00:00,15.38,418.00,36.00,80.00,-2.00,4.40
09.01.2010 09:00:00,44.23,717.00,71.00,269.00,0.00,5.30
09.01.2010 10:00:00,46.58,465.00,144.00,337.00,0.00,5.20
09.01.2010 11:00:00,43.34,257.00,232.00,364.00,1.00,4.80
09.01.2010 12:00:00,24.26,39.00,235.00,257.00,2.00,4.40
09.01.2010 13:00:00,28.99,75.00,253.00,295.00,3.00,4.10
09.01.2010 14:00:00,38.02,219.00,228.00,338.00,4.00,4.10
09.01.2010 15:00:00,25.29,138.00,173.00,227.00,3.00,3.90
09.01.2010 16:00:00,40.00,737.00,57.00,239.00,1.00,2.80
09.01.2010 17:00:00,9.53,400.00,24.00,52.00,0.00,1.70
09.01.2010 18:00:00,0.00,0.00,0.00,0.00,-1.00,1.60
09.01.2010 19:00:00,0.00,0.00,0.00,0.00,-2.00,1.50
09.01.2010 20:00:00,0.00,0.00,0.00,0.00,-3.00,1.40
09.01.2010 21:00:00,0.00,0.00,0.00,0.00,-4.00,1.20
09.01.2010 22:00:00,0.00,0.00,0.00,0.00,-5.00,1.00
09.01.2010 23:00:00,0.00,0.00,0.00,0.00,-5.00,0.90
10.01.2010 00:00:00,0.00,0.00,0.00,0.00,-5.00,0.80
10.01.2010 01:00:00,0.00,0.00,0.00,0.00,-5.00,0.70
10.01.2010 02:00:00,0.00,0.00,0.00,0.00,-5.00,0.70
10.01.2010 03:00:00,0.00,0.00,0.00,0.00,-5.00,0.70
10.01.2010 04:00:00,0.00,0.00,0.00,0.00,-5.00,0.70
10.01.2010 05:00:00,0.00,0.00,0.00,0.00,-5.00,0.80
10.01.2010 06:00:00,0.00,0.00,0.00,0.00,-6.00,0.90
10.01.2010 07:00:00,0.00,0.00,0.00,0.00,-5.00,1.60
10.01.2010 08:00:00,15.75,433.00,36.00,82.00,-3.00,2.70
10.01.2010 09:00:00,44.43,727.00,71.00,273.00,-1.00,3.20
10.01.2010 10:00:00,64.98,846.00,93.00,446.00,0.00,3.30
10.01.2010 11:00:00,78.00,900.00,107.00,569.00,1.00,3.40
10.01.2010 12:00:00,73.94,769.00,120.00,552.00,2.00,3.30
10.01.2010 13:00:00,62.04,526.00,195.00,488.00,2.00,3.10
10.01.2010 14:00:00,49.04,395.00,201.00,399.00,3.00,3.00
10.01.2010 15:00:00,50.38,624.00,101.00,348.00,2.00,2.70
10.01.2010 16:00:00,29.32,429.00,89.00,197.00,1.00,1.90
10.01.2010 17:00:00,6.08,181.00,29.00,42.00,0.00,1.40
10.01.2010 18:00:00,0.00,0.00,0.00,0.00,0.00,1.70
10.01.2010 19:00:00,0.00,0.00,0.00,0.00,0.00,2.20
10.01.2010 20:00:00,0.00,0.00,0.00,0.00,-1.00,2.30
10.01.2010 21:00:00,0.00,0.00,0.00,0.00,-1.00,2.00
10.01.2010 22:00:00,0.00,0.00,0.00,0.00,-2.00,1.80
10.01.2010 23:00:00,0.00,0.00,0.00,0.00,-2.00,1.50
11.01.2010 00:00:00,0.00,0.00,0.00,0.00,-2.00,1.20
11.01.2010 01:00:00,0.00,0.00,0.00,0.00,-2.00,1.10
11.01.2010 02:00:00,0.00,0.00,0.00,0.00,-3.00,1.00
11.01.2010 03:00:00,0.00,0.00,0.00,0.00,-3.00,1.00
11.01.2010 04:00:00,0.00,0.00,0.00,0.00,-4.00,1.10
11.01.2010 05:00:00,0.00,0.00,0.00,0.00,-4.00,1.20
11.01.2010 06:00:00,0.00,0.00,0.00,0.00,-3.00,1.10
11.01.2010 07:00:00,0.00,0.00,0.00,0.00,-2.00,1.60
11.01.2010 08:00:00,14.68,406.00,34.00,77.00,-1.00,2.30
11.01.2010 09:00:00,42.38,722.00,62.00,263.00,1.00,2.30
11.01.2010 10:00:00,62.88,868.00,72.00,435.00,3.00,2.10
11.01.2010 11:00:00,74.72,940.00,76.00,560.00,5.00,1.90
11.01.2010 12:00:00,80.27,978.00,74.00,625.00,7.00,1.80
11.01.2010 13:00:00,79.80,980.00,73.00,622.00,8.00,1.90
11.01.2010 14:00:00,73.58,958.00,69.00,551.00,8.00,2.10
11.01.2010 15:00:00,60.29,902.00,61.00,421.00,7.00,1.70
11.01.2010 16:00:00,39.91,779.00,48.00,245.00,6.00,1.10
11.01.2010 17:00:00,11.19,455.00,23.00,58.00,4.00,0.80
11.01.2010 18:00:00,0.00,0.00,0.00,0.00,4.00,0.50
11.01.2010 19:00:00,0.00,0.00,0.00,0.00,3.00,0.40
11.01.2010 20:00:00,0.00,0.00,0.00,0.00,2.00,0.70
11.01.2010 21:00:00,0.00,0.00,0.00,0.00,1.00,1.10
11.01.2010 22:00:00,0.00,0.00,0.00,0.00,0.00,1.40
11.01.2010 23:00:00,0.00,0.00,0.00,0.00,-1.00,1.50
12.01.2010 00:00:00,0.00,0.00,0.00,0.00,-2.00,1.70
12.01.2010 01:00:00,0.00,0.00,0.00,0.00,-2.00,1.90
12.01.2010 02:00:00,0.00,0.00,0.00,0.00,-2.00,2.10
12.01.2010 03:00:00,0.00,0.00,0.00,0.00,-2.00,2.40
12.01.2010 04:00:00,0.00,0.00,0.00,0.00,-3.00,2.60
12.01.2010 05:00:00,0.00,0.00,0.00,0.00,-3.00,2.70
12.01.2010 06:00:00,0.00,0.00,0.00,0.00,-3.00,2.70
12.01.2010 07:00:00,0.00,0.00,0.00,0.00,-2.00,3.20
12.01.2010 08:00:00,18.55,591.00,26.00,89.00,0.00,3.70
12.01.2010 09:00:00,46.53,853.00,44.00,282.00,2.00,3.30
12.01.2010 10:00:00,65.53,955.00,53.00,453.00,6.00,3.00
12.01.2010 11:00:00,77.51,1003.00,58.00,576.00,9.00,3.40
12.01.2010 12:00:00,82.54,1020.00,60.00,638.00,11.00,3.40
12.01.2010 13:00:00,81.62,1017.00,60.00,632.00,12.00,3.30
12.01.2010 14:00:00,74.84,994.00,57.00,560.00,12.00,3.30
12.01.2010 15:00:00,61.49,944.00,50.00,429.00,11.00,2.70
12.01.2010 16:00:00,41.33,831.00,40.00,253.00,7.00,1.80
12.01.2010 17:00:00,12.93,524.00,21.00,63.00,4.00,1.70
